,train_time,timestamp,train_loss,val_loss,train_score,val_score,batch_size,best,dampening,initial_lr,lr,momentum,nesterov,weight_decay
1,19.459590582052865,09:21:55 07-06-2021,8.528541833263333,8.9735026046878,0.8570974576271186,0.2707479508196721,32,True,0.0,0.03,0.03,0.9,0.0,0.0001
2,34.80516564846039,09:37:16 07-06-2021,7.996284669132556,8.512780650717314,0.8525423728813559,0.27638319672131145,32,True,0.0,0.03,0.02999979438713834,0.9,0.0,0.0001
3,51.1907377521197,09:53:39 07-06-2021,8.070017163228181,8.506495663377105,0.8486228813559322,0.27535860655737704,32,False,0.0,0.03,0.02999917755419034,0.9,0.0,0.0001
4,70.0972872296969,10:12:34 07-06-2021,8.145552476785952,8.509126639757,0.8497881355932203,0.2838114754098361,32,True,0.0,0.03,0.02999814951806679,0.9,0.0,0.0001
5,86.86208086013794,10:29:19 07-06-2021,8.209314330149505,8.51684823583384,0.8376059322033899,0.27561475409836067,32,False,0.0,0.03,0.029996710306951814,0.9,0.0,0.0001
6,107.3726213057836,10:49:50 07-06-2021,8.22032959501622,8.505460723501738,0.8399364406779661,0.2827868852459016,32,False,0.0,0.03,0.02999485996030211,0.9,0.0,0.0001
7,122.93114514748255,11:05:24 07-06-2021,8.18094023041806,8.506831559978547,0.8290254237288136,0.2838114754098361,32,False,0.0,0.03,0.02999259852884588,0.9,0.0,0.0001
8,139.1824766556422,11:21:39 07-06-2021,8.165242822291487,8.508261078693828,0.8319915254237288,0.2850922131147541,32,True,0.0,0.03,0.029989926074581393,0.9,0.0,0.0001
9,153.13630950053533,11:35:36 07-06-2021,8.231630257428703,8.519551589840749,0.8101694915254237,0.3045594262295082,32,True,0.0,0.03,0.029986842670775345,0.9,0.0,0.0001
10,171.08119959831237,11:53:33 07-06-2021,8.224892060231355,8.417723186680528,0.7944915254237288,0.32581967213114754,32,True,0.0,0.03,0.029983348401960805,0.9,0.0,0.0001
11,189.4309092481931,12:11:54 07-06-2021,8.070902145515054,8.347566440457204,0.8313559322033899,0.359375,32,True,0.0,0.03,0.02997944336393491,0.9,0.0,0.0001
12,209.37584551970164,12:31:50 07-06-2021,8.017284262382377,8.348086411835718,0.8261652542372881,0.3875512295081967,32,True,0.0,0.03,0.029975127663756266,0.9,0.0,0.0001
13,230.2203989783923,12:52:41 07-06-2021,8.14115889759387,8.415618982471404,0.8064618644067797,0.421875,32,True,0.0,0.03,0.029970401419741964,0.9,0.0,0.0001
14,252.01609289248785,13:14:29 07-06-2021,8.570879260564254,8.597812976993499,0.850635593220339,0.4257172131147541,32,True,0.0,0.03,0.02996526476146437,0.9,0.0,0.0001
15,275.56337741216026,13:38:02 07-06-2021,8.105338164507332,8.041893669816314,0.793114406779661,0.44364754098360654,32,True,0.0,0.03,0.029959717829747563,0.9,0.0,0.0001
16,301.789726181825,14:04:15 07-06-2021,8.241950713982016,8.40889705204573,0.8121822033898305,0.44287909836065575,32,False,0.0,0.03,0.029953760776663486,0.9,0.0,0.0001
17,323.35885995229086,14:25:49 07-06-2021,8.033342744536318,7.868107877793859,0.7901483050847458,0.4641393442622951,32,True,0.0,0.03,0.02994739376552775,0.9,0.0,0.0001
18,345.0435814857483,14:47:30 07-06-2021,7.760444346929001,7.719139099121094,0.8082627118644068,0.46900614754098363,32,True,0.0,0.03,0.02994061697089519,0.9,0.0,0.0001
19,369.78267861207325,15:12:15 07-06-2021,7.831453834145756,7.847255480094034,0.7976694915254238,0.47873975409836067,32,True,0.0,0.03,0.029933430578555048,0.9,0.0,0.0001
20,391.76336659987766,15:34:14 07-06-2021,7.854498358904305,7.693297777019564,0.8264830508474577,0.49462090163934425,32,True,0.0,0.03,0.029925834785525907,0.9,0.0,0.0001
21,416.7765269200007,15:59:14 07-06-2021,7.840142148228015,7.728627908425253,0.8295550847457627,0.5199795081967213,32,True,0.0,0.03,0.029917829800050255,0.9,0.0,0.0001
22,442.8880743543307,16:25:21 07-06-2021,7.843521664506298,7.674254823903569,0.8356991525423729,0.5322745901639344,32,True,0.0,0.03,0.02990941584158883,0.9,0.0,0.0001
23,465.1440401792526,16:47:36 07-06-2021,7.8936001341221695,7.600298701739702,0.8403601694915255,0.5199795081967213,32,False,0.0,0.03,0.029900593140814544,0.9,0.0,0.0001
24,487.10316164096196,17:09:34 07-06-2021,7.831752077199645,7.584357601697327,0.8216101694915254,0.545594262295082,32,True,0.0,0.03,0.0298913619396062,0.9,0.0,0.0001
25,504.2973294854164,17:26:46 07-06-2021,7.904630143763655,7.66815767131868,0.823728813559322,0.5438012295081968,32,False,0.0,0.03,0.02988172249104184,0.9,0.0,0.0001
26,534.0902667403221,17:56:33 07-06-2021,7.754049753738662,7.4959521137300085,0.8355932203389831,0.5438012295081968,32,False,0.0,0.03,0.02987167505939181,0.9,0.0,0.0001
27,555.5142402529716,18:17:59 07-06-2021,7.729917443808863,7.455409006994278,0.8430084745762711,0.5671106557377049,32,True,0.0,0.03,0.029861219920111533,0.9,0.0,0.0001
28,580.0968883752823,18:42:34 07-06-2021,7.730007632304046,7.36435010394112,0.8508474576271187,0.5676229508196722,32,True,0.0,0.03,0.02985035735983393,0.9,0.0,0.0001
29,601.6958958347639,19:04:09 07-06-2021,7.702978838904429,7.415975680116747,0.8573093220338983,0.5778688524590164,32,True,0.0,0.03,0.029839087676361585,0.9,0.0,0.0001
30,628.6459481438001,19:31:06 07-06-2021,7.682980980307369,7.299145741540878,0.8627118644067797,0.5822233606557377,32,True,0.0,0.03,0.029827411178658548,0.9,0.0,0.0001
